,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Broad_Type,nearest_station,Station_Lat,Station_Long,violence_score,top_crimes
1021,8222463,HT456158,08/19/2011 07:20:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,False,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1022,8232438,HT456150,08/19/2011 07:25:00 PM,0000X W 95TH ST,0820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,634,6,21,49,06,1177762.0,1841949.0,2011,02/10/2018 03:50:01 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)",property,95th/Dan Ryan (Red Line),41.722377,-87.624342,0.1743119266055046,
1023,8222516,HT456219,08/19/2011 07:55:00 PM,015XX N SEDGWICK ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1821,18,43,8,11,1173364.0,1910604.0,2011,02/10/2018 03:50:01 PM,41.910121292,-87.638560993,"(41.910121292, -87.638560993)",non-violent,"Howard (Red, Purple & Yellow lines)",42.019063,-87.672892,0.3142857142857143,
1024,8222645,HT456289,08/19/2011 08:50:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1832,18,42,8,11,1176223.0,1905805.0,2011,02/10/2018 03:50:01 PM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)",non-violent,Wellington (Brown & Purple lines),41.936033,-87.653266,0.04891304347826087,
1025,8223597,HT457739,08/19/2011 10:00:00 PM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,1655,16,41,76,06,1104700.0,1933741.0,2011,02/10/2018 03:50:01 PM,41.974861952,-87.890372151,"(41.974861952, -87.890372151)",property,Western (Orange Line),41.804546,-87.684019,0.5833333333333334,
1026,8222950,HT456684,08/20/2011 02:32:00 AM,005XX S LA SALLE ST,0870,THEFT,POCKET-PICKING,CTA PLATFORM,False,False,131,1,2,32,06,1175330.0,1897939.0,2011,02/10/2018 03:50:01 PM,41.875323928,-87.631719215,"(41.875323928, -87.631719215)",property,Merchandise Mart (Brown & Purple lines),41.888969,-87.633924,0.3333333333333333,
1027,8223248,HT457164,08/20/2011 11:45:00 AM,032XX W LAKE ST,0810,THEFT,OVER $500,CTA PLATFORM,False,False,1123,11,28,27,06,1154840.0,1901084.0,2011,02/10/2018 03:50:01 PM,41.884389103,-87.706866213,"(41.884389103, -87.706866213)",property,Kedzie (Green Line),41.884321,-87.706155,0.10526315789473684,
1028,8224308,HT457389,08/20/2011 01:45:00 PM,011XX S STATE ST,3960,INTIMIDATION,INTIMIDATION,CTA PLATFORM,True,False,132,1,2,32,26,1176517.0,1895340.0,2011,02/10/2018 03:50:01 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)",violent,95th/Dan Ryan (Red Line),41.722377,-87.624342,0.1743119266055046,
1029,8223350,HT457349,08/20/2011 02:35:00 PM,005XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,True,False,1132,11,24,26,18,1149812.0,1897228.0,2011,02/10/2018 03:50:01 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)",non-violent,Montrose (Brown Line),41.961756,-87.675047,0.25806451612903225,
1030,8223695,HT457542,08/20/2011 04:00:00 PM,009XX W WELLINGTON AVE,0820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,1932,19,44,6,06,1169436.0,1920111.0,2011,02/10/2018 03:50:01 PM,41.936295389,-87.652713593,"(41.936295389, -87.652713593)",property,Austin (Green Line),41.887293,-87.774135,0.0,
